site_id,timestamp,hour_ahead,temperature_2m,cloud_cover_pct,ghi_wm2,dni_wm2,wind_speed_10m,wind_speed_100m
bhadla-solar,2026-09-12T05:00:00Z,1,23.96,47.9,560.8,430.2,4.5,6.82
bhadla-solar,2026-09-12T06:00:00Z,2,26.41,49.6,630.65,496.94,4.89,7.4
bhadla-solar,2026-09-12T07:00:00Z,3,28.57,50.7,662.57,527.59,5.36,8.11
bhadla-solar,2026-09-12T08:00:00Z,4,30.29,51.3,656.13,520.64,5.89,8.91
bhadla-solar,2026-09-12T09:00:00Z,5,31.47,51.4,612.09,477.21,6.42,9.72
bhadla-solar,2026-09-12T10:00:00Z,6,32.03,51.1,532.38,401.04,6.92,10.48
bhadla-solar,2026-09-12T11:00:00Z,7,31.95,50.5,420.33,298.81,7.35,11.12
bhadla-solar,2026-09-12T12:00:00Z,8,31.23,49.5,280.91,180.84,7.66,11.59
bhadla-solar,2026-09-12T13:00:00Z,9,29.93,48.3,120.83,63.12,7.82,11.83
bhadla-solar,2026-09-12T14:00:00Z,10,28.14,43.0,0.0,0.0,7.8,11.81
bhadla-solar,2026-09-12T15:00:00Z,11,26.0,44.0,0.0,0.0,7.6,11.51
bhadla-solar,2026-09-12T16:00:00Z,12,23.66,44.6,0.0,0.0,7.22,10.93
bhadla-solar,2026-09-12T17:00:00Z,13,21.28,44.9,0.0,0.0,6.66,10.09
bhadla-solar,2026-09-12T18:00:00Z,14,19.02,45.0,0.0,0.0,5.96,9.02
bhadla-solar,2026-09-12T19:00:00Z,15,17.06,44.7,0.0,0.0,5.15,7.79
bhadla-solar,2026-09-12T20:00:00Z,16,15.52,44.1,0.0,0.0,4.27,6.46
bhadla-solar,2026-09-12T21:00:00Z,17,14.52,43.2,0.0,0.0,3.37,5.1
bhadla-solar,2026-09-12T22:00:00Z,18,14.13,42.0,0.0,0.0,2.52,3.81
bhadla-solar,2026-09-12T23:00:00Z,19,14.39,40.6,0.0,0.0,1.75,2.65
bhadla-solar,2026-09-13T00:00:00Z,20,15.27,38.9,0.0,0.0,1.2,1.82
bhadla-solar,2026-09-13T01:00:00Z,21,16.72,37.0,0.0,0.0,1.2,1.82
bhadla-solar,2026-09-13T02:00:00Z,22,18.65,38.1,151.11,84.45,1.2,1.82
bhadla-solar,2026-09-13T03:00:00Z,23,20.93,38.4,331.24,225.21,1.2,1.82
bhadla-solar,2026-09-13T04:00:00Z,24,23.4,38.6,489.75,367.09,1.2,1.82
bhadla-solar,2026-09-13T05:00:00Z,25,25.91,38.8,617.27,490.16,1.2,1.82
bhadla-solar,2026-09-13T06:00:00Z,26,28.27,38.8,706.71,580.49,1.88,2.84
bhadla-solar,2026-09-13T07:00:00Z,27,30.33,38.6,753.39,628.91,2.73,4.13
bhadla-solar,2026-09-13T08:00:00Z,28,31.95,38.1,754.93,630.79,3.71,5.61
bhadla-solar,2026-09-13T09:00:00Z,29,33.03,37.3,711.16,585.8,4.76,7.2
bhadla-solar,2026-09-13T10:00:00Z,30,33.48,36.0,623.85,497.78,5.82,8.81
bhadla-solar,2026-09-13T11:00:00Z,31,33.29,34.4,496.6,374.7,6.83,10.34
bhadla-solar,2026-09-13T12:00:00Z,32,32.45,32.4,334.75,229.16,7.75,11.73
bhadla-solar,2026-09-13T13:00:00Z,33,31.03,29.9,145.41,80.91,8.51,12.88
bhadla-solar,2026-09-13T14:00:00Z,34,29.12,8.4,0.0,0.0,9.08,13.74
bhadla-solar,2026-09-13T15:00:00Z,35,26.85,7.1,0.0,0.0,9.43,14.27
bhadla-solar,2026-09-13T16:00:00Z,36,24.37,6.1,0.0,0.0,9.54,14.44
bhadla-solar,2026-09-13T17:00:00Z,37,21.86,5.4,0.0,0.0,9.42,14.25
bhadla-solar,2026-09-13T18:00:00Z,38,19.47,5.1,0.0,0.0,9.07,13.73
bhadla-solar,2026-09-13T19:00:00Z,39,17.37,5.0,0.0,0.0,8.53,12.9
bhadla-solar,2026-09-13T20:00:00Z,40,15.7,5.3,0.0,0.0,7.82,11.84
bhadla-solar,2026-09-13T21:00:00Z,41,14.56,5.8,0.0,0.0,7.01,10.6
bhadla-solar,2026-09-13T22:00:00Z,42,14.03,6.7,0.0,0.0,6.13,9.27
bhadla-solar,2026-09-13T23:00:00Z,43,14.15,7.8,0.0,0.0,5.24,7.93
bhadla-solar,2026-09-14T00:00:00Z,44,14.9,9.2,0.0,0.0,4.4,6.66
bhadla-solar,2026-09-14T01:00:00Z,45,16.21,10.9,0.0,0.0,3.65,5.52
bhadla-solar,2026-09-14T02:00:00Z,46,18.01,5.0,200.73,121.46,3.03,4.59
bhadla-solar,2026-09-14T03:00:00Z,47,20.16,5.0,441.15,325.0,2.58,3.9
bhadla-solar,2026-09-14T04:00:00Z,48,22.5,5.0,653.85,531.49,2.3,3.48
bhadla-solar,2026-09-14T05:00:00Z,49,24.88,5.0,825.47,711.25,2.21,3.35
bhadla-solar,2026-09-14T06:00:00Z,50,27.11,5.0,945.21,842.48,2.3,3.48
bhadla-solar,2026-09-14T07:00:00Z,51,29.06,5.0,1005.57,910.25,2.55,3.86
bhadla-solar,2026-09-14T08:00:00Z,52,30.57,5.0,1002.74,907.05,2.93,4.43
bhadla-solar,2026-09-14T09:00:00Z,53,31.53,5.0,936.91,833.24,3.4,5.14
bhadla-solar,2026-09-14T10:00:00Z,54,31.88,5.0,812.21,697.0,3.92,5.93
bhadla-solar,2026-09-14T11:00:00Z,55,31.58,5.0,636.47,513.89,4.45,6.73
bhadla-solar,2026-09-14T12:00:00Z,56,30.64,5.0,420.74,306.31,4.94,7.47
bhadla-solar,2026-09-14T13:00:00Z,57,29.13,5.0,178.58,104.94,5.35,8.1
bhadla-solar,2026-09-14T14:00:00Z,58,27.14,39.9,0.0,0.0,5.67,8.58
bhadla-solar,2026-09-14T15:00:00Z,59,24.79,41.5,0.0,0.0,5.85,8.86
bhadla-solar,2026-09-14T16:00:00Z,60,22.24,42.7,0.0,0.0,5.9,8.94
bhadla-solar,2026-09-14T17:00:00Z,61,19.66,43.8,0.0,0.0,5.82,8.81
bhadla-solar,2026-09-14T18:00:00Z,62,17.21,44.5,0.0,0.0,5.61,8.49
bhadla-solar,2026-09-14T19:00:00Z,63,15.06,44.9,0.0,0.0,5.3,8.02
bhadla-solar,2026-09-14T20:00:00Z,64,13.34,45.0,0.0,0.0,4.92,7.44
bhadla-solar,2026-09-14T21:00:00Z,65,12.16,44.8,0.0,0.0,4.5,6.82
bhadla-solar,2026-09-14T22:00:00Z,66,11.61,44.3,0.0,0.0,4.1,6.2
bhadla-solar,2026-09-14T23:00:00Z,67,11.7,43.5,0.0,0.0,3.74,5.66
bhadla-solar,2026-09-15T00:00:00Z,68,12.43,42.3,0.0,0.0,3.47,5.25
bhadla-solar,2026-09-15T01:00:00Z,69,13.74,41.0,0.0,0.0,3.32,5.02
bhadla-solar,2026-09-15T02:00:00Z,70,15.54,5.0,200.73,121.46,3.3,5.0
bhadla-solar,2026-09-15T03:00:00Z,71,17.69,5.0,441.15,325.0,3.45,5.22
bhadla-solar,2026-09-15T04:00:00Z,72,20.05,5.0,653.85,531.49,3.75,5.67
desert-sunlight,2026-09-12T05:00:00Z,1,21.24,25.0,0.0,0.0,9.64,14.59
desert-sunlight,2026-09-12T06:00:00Z,2,18.92,27.5,0.0,0.0,9.28,14.04
desert-sunlight,2026-09-12T07:00:00Z,3,16.83,29.9,0.0,0.0,8.7,13.17
desert-sunlight,2026-09-12T08:00:00Z,4,15.1,32.3,0.0,0.0,7.96,12.04
desert-sunlight,2026-09-12T09:00:00Z,5,13.86,34.6,0.0,0.0,7.08,10.71
desert-sunlight,2026-09-12T10:00:00Z,6,13.2,36.7,0.0,0.0,6.12,9.26
desert-sunlight,2026-09-12T11:00:00Z,7,13.19,38.6,0.0,0.0,5.14,7.78
desert-sunlight,2026-09-12T12:00:00Z,8,13.81,40.4,0.0,0.0,4.2,6.35
desert-sunlight,2026-09-12T13:00:00Z,9,15.04,41.8,0.0,0.0,3.34,5.05
desert-sunlight,2026-09-12T14:00:00Z,10,16.8,46.9,53.64,22.92,2.61,3.95
desert-sunlight,2026-09-12T15:00:00Z,11,18.98,45.5,227.86,140.03,2.05,3.11
desert-sunlight,2026-09-12T16:00:00Z,12,21.43,44.0,392.95,277.23,1.69,2.56
desert-sunlight,2026-09-12T17:00:00Z,13,24.0,42.6,537.63,410.87,1.53,2.32
desert-sunlight,2026-09-12T18:00:00Z,14,26.51,41.3,651.3,522.9,1.57,2.38
desert-sunlight,2026-09-12T19:00:00Z,15,28.8,40.2,725.11,598.66,1.8,2.73
desert-sunlight,2026-09-12T20:00:00Z,16,30.72,39.3,752.85,627.96,2.2,3.33
desert-sunlight,2026-09-12T21:00:00Z,17,32.14,38.6,731.63,606.28,2.72,4.11
