timestamp,site_id,capacity_mw,actual_generation_mw,solar_generation_mw,wind_generation_mw,ghi_wm2,dni_wm2,wind_speed_100m,wind_speed_10m,temperature_c,cloud_cover_pct
2026-08-13T05:00:00Z,bhadla-solar,2245.0,1484.56,1484.56,0.0,746.91,634.58,4.24,2.8,21.33,10.9
2026-08-13T06:00:00Z,bhadla-solar,2245.0,1675.4,1675.4,0.0,817.98,707.48,14.36,9.49,21.96,16.1
2026-08-13T07:00:00Z,bhadla-solar,2245.0,1722.11,1722.11,0.0,887.57,780.46,5.19,3.43,27.19,13.9
2026-08-13T08:00:00Z,bhadla-solar,2245.0,1517.81,1517.81,0.0,752.51,637.1,9.28,6.13,28.32,31.3
2026-08-13T09:00:00Z,bhadla-solar,2245.0,1666.38,1666.38,0.0,827.31,717.31,5.45,3.6,31.29,13.8
2026-08-13T10:00:00Z,bhadla-solar,2245.0,1182.2,1182.2,0.0,589.02,473.87,7.83,5.17,29.09,34.6
2026-08-13T11:00:00Z,bhadla-solar,2245.0,1277.48,1277.48,0.0,628.8,515.77,5.43,3.59,29.78,0.0
2026-08-13T12:00:00Z,bhadla-solar,2245.0,879.89,879.89,0.0,415.67,313.86,13.2,8.72,28.3,0.0
2026-08-13T13:00:00Z,bhadla-solar,2245.0,305.7,305.7,0.0,138.48,83.71,6.28,4.15,23.31,28.0
2026-08-13T14:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,9.28,6.13,24.63,16.1
2026-08-13T15:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,6.11,4.04,21.63,49.9
2026-08-13T16:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.42,5.56,17.33,60.2
2026-08-13T17:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,7.79,5.15,18.79,14.6
2026-08-13T18:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,6.36,4.2,13.89,39.3
2026-08-13T19:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,5.74,3.79,11.35,28.0
2026-08-13T20:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,9.33,6.16,14.31,23.0
2026-08-13T21:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.3,5.49,10.11,40.5
2026-08-13T22:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,7.45,4.92,11.39,43.5
2026-08-13T23:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,12.72,8.4,10.51,6.2
2026-08-14T00:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,5.26,3.48,10.48,35.4
2026-08-14T01:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,7.97,5.27,12.6,13.9
2026-08-14T02:00:00Z,bhadla-solar,2245.0,364.77,364.77,0.0,157.08,97.41,10.31,6.81,12.44,27.0
2026-08-14T03:00:00Z,bhadla-solar,2245.0,555.36,555.36,0.0,247.77,162.8,4.94,3.26,15.61,56.1
2026-08-14T04:00:00Z,bhadla-solar,2245.0,1173.62,1173.62,0.0,546.09,435.38,11.67,7.71,18.51,20.1
2026-08-14T05:00:00Z,bhadla-solar,2245.0,1141.08,1141.08,0.0,544.97,428.37,2.37,1.56,23.19,43.1
2026-08-14T06:00:00Z,bhadla-solar,2245.0,1733.18,1733.18,0.0,824.89,714.72,12.34,8.15,24.22,15.2
2026-08-14T07:00:00Z,bhadla-solar,2245.0,1903.44,1903.44,0.0,993.45,892.93,3.38,2.23,27.18,0.0
2026-08-14T08:00:00Z,bhadla-solar,2245.0,1890.75,1890.75,0.0,990.66,889.92,1.82,1.2,28.69,0.0
2026-08-14T09:00:00Z,bhadla-solar,2245.0,1229.36,1229.36,0.0,619.47,499.64,0.76,0.5,31.39,43.0
2026-08-14T10:00:00Z,bhadla-solar,2245.0,1062.03,1062.03,0.0,501.95,385.24,6.93,4.58,28.97,48.7
2026-08-14T11:00:00Z,bhadla-solar,2245.0,997.33,997.33,0.0,477.35,368.96,4.18,2.76,29.34,31.3
2026-08-14T12:00:00Z,bhadla-solar,2245.0,509.51,509.51,0.0,233.47,151.27,1.19,0.78,29.08,57.0
2026-08-14T13:00:00Z,bhadla-solar,2245.0,385.15,385.15,0.0,173.97,110.39,7.88,5.21,27.22,1.8
2026-08-14T14:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,6.06,4.0,26.8,61.9
2026-08-14T15:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,3.56,2.35,22.95,26.8
2026-08-14T16:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,6.19,4.09,17.57,43.4
2026-08-14T17:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,1.36,0.9,18.16,36.4
2026-08-14T18:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,5.13,3.39,16.21,42.2
2026-08-14T19:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,10.15,6.71,13.91,70.3
2026-08-14T20:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.19,5.41,13.86,51.7
2026-08-14T21:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,3.66,2.42,9.24,20.5
2026-08-14T22:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,9.17,6.06,8.62,14.6
2026-08-14T23:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.43,5.57,11.95,32.3
2026-08-15T00:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.38,5.53,12.46,26.0
2026-08-15T01:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.02,5.3,13.37,14.0
2026-08-15T02:00:00Z,bhadla-solar,2245.0,287.5,287.5,0.0,129.01,75.81,5.34,3.53,15.07,45.4
2026-08-15T03:00:00Z,bhadla-solar,2245.0,734.14,734.14,0.0,321.26,229.01,1.47,0.97,15.22,34.2
2026-08-15T04:00:00Z,bhadla-solar,2245.0,808.56,808.56,0.0,369.8,263.56,8.69,5.74,21.32,55.6
2026-08-15T05:00:00Z,bhadla-solar,2245.0,1385.17,1385.17,0.0,680.63,566.89,6.2,4.09,21.89,21.5
2026-08-15T06:00:00Z,bhadla-solar,2245.0,1749.21,1749.21,0.0,883.84,776.57,11.46,7.57,27.38,7.0
2026-08-15T07:00:00Z,bhadla-solar,2245.0,1171.4,1171.4,0.0,539.41,410.63,9.56,6.32,23.09,59.4
2026-08-15T08:00:00Z,bhadla-solar,2245.0,1766.84,1766.84,0.0,900.29,793.98,2.81,1.86,30.84,11.9
2026-08-15T09:00:00Z,bhadla-solar,2245.0,1344.05,1344.05,0.0,663.08,545.32,8.68,5.74,30.68,36.9
2026-08-15T10:00:00Z,bhadla-solar,2245.0,1182.51,1182.51,0.0,567.45,451.91,7.51,4.96,31.14,38.1
2026-08-15T11:00:00Z,bhadla-solar,2245.0,955.3,955.3,0.0,472.39,364.15,3.72,2.46,30.32,32.3
2026-08-15T12:00:00Z,bhadla-solar,2245.0,668.63,668.63,0.0,302.58,212.95,1.24,0.82,29.62,35.4
2026-08-15T13:00:00Z,bhadla-solar,2245.0,359.07,359.07,0.0,164.74,103.45,9.21,6.08,28.58,8.6
2026-08-15T14:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,9.04,5.97,28.22,34.7
2026-08-15T15:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,7.84,5.18,25.39,21.1
2026-08-15T16:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,3.43,2.27,21.05,38.7
2026-08-15T17:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,4.45,2.94,15.48,34.1
2026-08-15T18:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,5.68,3.76,15.9,32.1
2026-08-15T19:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,9.99,6.6,13.0,39.5
2026-08-15T20:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,9.28,6.13,9.7,10.1
2026-08-15T21:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,7.63,5.04,8.91,7.0
2026-08-15T22:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,8.94,5.91,9.15,44.8
2026-08-15T23:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,1.11,0.73,13.31,20.0
2026-08-16T00:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,6.75,4.46,11.34,10.8
2026-08-16T01:00:00Z,bhadla-solar,2245.0,0.0,0.0,0.0,0.0,0.0,6.93,4.58,12.11,47.6
2026-08-16T02:00:00Z,bhadla-solar,2245.0,300.6,300.6,0.0,135.2,80.57,4.13,2.73,12.33,41.4
2026-08-16T03:00:00Z,bhadla-solar,2245.0,465.36,465.36,0.0,210.5,129.23,7.18,4.74,18.5,67.2
2026-08-16T04:00:00Z,bhadla-solar,2245.0,995.84,995.84,0.0,453.55,345.18,1.6,1.06,19.92,38.7
2026-08-16T05:00:00Z,bhadla-solar,2245.0,1672.05,1672.05,0.0,815.52,704.63,4.83,3.19,24.07,0.0
2026-08-16T06:00:00Z,bhadla-solar,2245.0,1844.18,1844.18,0.0,882.29,774.95,5.6,3.7,23.35,7.2
2026-08-16T07:00:00Z,bhadla-solar,2245.0,1678.44,1678.44,0.0,845.63,735.91,10.58,6.99,26.01,19.3
2026-08-16T08:00:00Z,bhadla-solar,2245.0,1846.52,1846.52,0.0,910.49,804.81,4.17,2.76,27.14,10.5
2026-08-16T09:00:00Z,bhadla-solar,2245.0,1139.86,1139.86,0.0,551.8,428.77,9.37,6.19,29.52,52.5
2026-08-16T10:00:00Z,bhadla-solar,2245.0,1562.47,1562.47,0.0,793.67,682.16,2.92,1.93,29.69,1.4
2026-08-16T11:00:00Z,bhadla-solar,2245.0,1168.74,1168.74,0.0,552.35,441.66,4.41,2.91,26.96,15.8
